Airport	Sentiment
Daloa Airport	5.908377546897547
Tunis Carthage International Airport	5.908630721500722
Sidi Ahmed Air Base	5.908630721500722
Remada Air Base	5.908630721500722
Cufar Airport	5.908801327561328
Ibadan Airport	5.90914976911977
Ilorin International Airport	5.90914976911977
Yakubu Gowon Airport	5.90914976911977
Kaduna Airport	5.90914976911977
Shannon Airport	5.909283182373182
Sligo Airport	5.909283182373182
Waterford Airport	5.909283182373182
Aarhus Airport	5.909283182373182
Billund Airport	5.909283182373182
Noumérat - Moufdi Zakaria Airport	5.909452546897548
Copenhagen Kastrup Airport	5.909529610944611
Esbjerg Airport	5.909529610944611
Bassatine Airport	5.91119101010101
Sidi Bel Abbes Airport	5.911485880230881
Woensdrecht Air Base	5.9115841636141635
Akure Airport	5.911676435786435
Benin Airport	5.911676435786435
Margaret Ekpo International Airport	5.911676435786435
Akanu Ibiam International Airport	5.911676435786435
Yamoussoukro Airport	5.911754213564212
Galway Airport	5.911855195360196
Dublin Airport	5.911855195360196
Ireland West Knock Airport	5.911855195360196
Kerry Airport	5.911855195360196
Casement Air Base	5.911855195360196
Cork Airport	5.912101623931624
Karup Airport	5.912119610944611
Læsø Airport	5.912119610944611
Grønholt Hillerød Airport	5.912844610944612
Twente Airfield	5.912869163614164
Valkenburg Naval Air Base	5.912869163614164
Eelde Airport	5.9132972588522605
Penticton Airport	5.913418737373738
Charlottetown Airport	5.913418737373738
Oued Irara Airport	5.913710880230881
In Salah Airport	5.913710880230881
Touggourt Sidi Madhi Airport	5.913710880230881
Laghouat Airport	5.913710880230881
Timimoun Airport	5.913710880230881
Ain el Beida Airport	5.913710880230881
In Aménas Airport	5.913710880230881
Mohamed Boudiaf International Airport	5.913919213564214
Cheikh Larbi Tébessi Airport	5.914385880230882
Hassi R'Mel Airport	5.914385880230882
Bou Chekif Airport	5.914385880230882
Bou Sfer Airport	5.914385880230882
Tindouf Airport	5.914385880230882
Tafaraoui Airport	5.914385880230882
Mbuji Mayi Airport	5.915073311688312
Moulay Ali Cherif Airport	5.915646010101011
Sishen Airport	5.915804993894995
Hendrik Swellengrebel Airport	5.915804993894995
Taloyoak Airport	5.916218737373738
Lynn Lake Airport	5.916218737373738
Parys Airport	5.9166121367521365
Queenstown Airport	5.9166121367521365
Richards Bay Airport	5.9166121367521365
Rustenburg Airport	5.9166121367521365
Robertson Airport	5.9166121367521365
Chris Hadfield Airport	5.916758737373737
Port Hardy Airport	5.916758737373737
Whitecourt Airport	5.916758737373737
Sept-Îles Airport	5.916758737373737
Teslin Airport	5.916758737373737
CFB Greenwood	5.916758737373737
Fort Mcpherson Airport	5.916758737373737
Blida Airport	5.916758737373737
Bou Saada Airport	5.916758737373737
Soummam Airport	5.916758737373737
Houari Boumediene Airport	5.916758737373737
Saldanha /Vredenburg Airport	5.916858565323565
Springs Airfield	5.916858565323565
Swartkop Air Force Base	5.916858565323565
Springbok Airport	5.916858565323568
Secunda Airport	5.916858565323568
Goose Bay Airport	5.917712070707071
St. John's International Airport	5.917712070707071
Kapuskasing Airport	5.917712070707071
Mont Joli Airport	5.917712070707071
Lester B. Pearson International Airport	5.917712070707071
Downsview Airport	5.917712070707071
Resolute Bay Airport	5.9181587445887445
Rivière-du-Loup Airport	5.9181587445887445
Roberval Airport	5.9181587445887445
Rocky Mountain House Airport	5.9181587445887445
Rankin Inlet Airport	5.9181587445887445
Sudbury Airport	5.9181587445887445
Sherbrooke Airport	5.9181587445887445
Korhogo Airport	5.9195942135642134
Man Airport	5.9195942135642134
Mopti Airport	5.919643549783549
La Palma Airport	5.919683549783549
Gran Canaria Airport	5.919683549783549
Lanzarote Airport	5.919683549783549
Tenerife South Airport	5.919683549783549
Fuerteventura Airport	5.91968354978355
Hierro Airport	5.91968354978355
Gore Bay Manitoulin Airport	5.92149207070707
Yellowknife Airport	5.92149207070707
Slave Lake Airport	5.92149207070707
Sandspit Airport	5.92149207070707
Swift Current Airport	5.923552070707071
Suwon Airport	5.923957453102454
Pohang Airport	5.923957453102454
Daegu Airport	5.923957453102454
Yecheon Airport	5.923957453102454
Osan Air Base	5.9242241197691206
Gimpo International Airport	5.9242241197691206
Thunder Bay Airport	5.924458744588744
Grande Prairie Airport	5.924458744588744
Yorkton Municipal Airport	5.924458744588744
North Battleford Airport	5.924458744588744
Gander International Airport	5.924458744588744
Sydney / J.A. Douglas McCurdy Airport	5.924458744588744
Quesnel Airport	5.924458744588744
Senou Airport	5.924864978354979
Gao Airport	5.924864978354979
Kayes Dag Dag Airport	5.924864978354979
Kananga Airport	5.925398311688313
Dr. Arturo H. Illia Airport	5.925528989898989
De La Independencia Airport	5.929770093795092
Teniente Rodolfo Marsh Martin Base	5.929770093795092
Timbuktu Airport	5.93103854978355
Tessalit Airport	5.931263549783549
Banjul International Airport	5.931263549783549
Amsterdam Airport Schiphol	5.931773131868132
Mount Pleasant Airport	5.931773131868133
Tenerife Norte Airport	5.932641327561328
El Plumerillo Airport	5.933440101010101
Tokyo Haneda International Airport	5.934192453102453
La Plata Airport	5.935488989898989
Moron Airport	5.935488989898989
El Palomar Airport	5.935488989898989
Chos Malal Airport	5.935488989898989
Lungi International Airport	5.935737756132758
Lolland Falster Maribo Airport	5.93641738872239
Comox Airport	5.936831601731602
Regina International Airport	5.936831601731602
Comodoro Pierrestegui Airport	5.936891190476192
Gualeguaychu Airport	5.936891190476192
Junin Airport	5.936891190476192
Deelen Air Base	5.9369797985348
Drachten Airport	5.9369797985348
Eindhoven Airport	5.9369797985348
Chamical Airport	5.9380362121212125
RAF Barkston Heath	5.938698131868133
RAF Marham	5.938698131868133
Sauce Viejo Airport	5.9391790692640685
Jorge Newbery Airpark	5.9391790692640685
Ingeniero Ambrosio Taravella Airport	5.9391790692640685
Melilla Airport	5.939566327561328
Matsushima Air Base	5.940177691197691
Mariano Moreno Airport	5.940248989898991
Atsugi Naval Air Facility	5.940624119769119
Hachijojima Airport	5.940624119769119
RAF Wattisham	5.941371465201465
RAF Wyton	5.941371465201465
Ozuki Airport	5.941520548340549
Aomori Airport	5.941520548340549
Yamagata Airport	5.941520548340549
Maastricht Aachen Airport	5.941738131868132
General Urquiza Airport	5.942057857142857
Islas Malvinas Airport	5.942057857142857
Sado Airport	5.942377691197691
Hachinohe Airport	5.942377691197691
Hanamaki Airport	5.942377691197691
Akita Airport	5.942377691197691
Misawa Air Base	5.942377691197691
Sendai Airport	5.942377691197691
Ie Shima Auxiliary Air Base	5.942401897546898
Kadena Air Base	5.942401897546898
Ishigaki Airport	5.942401897546898
Kumejima Airport	5.942401897546898
Cañal Bajo Carlos - Hott Siebert Airport	5.9428558080808065
Vallenar Airport	5.9428558080808065
Potchefstroom Airport	5.943161343101342
Tata Airport	5.943528507048507
Amílcar Cabral International Airport	5.943528507048507
Kolwezi Airport	5.943814184704186
Kalemie Airport	5.943814184704186
Tateyama Airport	5.943824119769121
Iruma Air Base	5.943824119769121
Kisarazu Airport	5.943824119769121
Shimofusa Airport	5.943824119769121
Oshima Airport	5.943824119769121
Kastner Army Heliport	5.943824119769121
Puerto Princesa Airport	5.943883650793651
Evelio Javier Airport	5.944150317460319
Red Deer Regional Airport	5.9445544588744585
Windsor Airport	5.9445544588744585
Watson Lake Airport	5.9445544588744585
Kenora Airport	5.9445544588744585
Lethbridge County Airport	5.9445544588744585
Greater Moncton International Airport	5.9445544588744585
Futaleufú Airport	5.94483295093795
María Dolores Airport	5.94483295093795
Guardiamarina Zañartu Airport	5.94483295093795
Carriel Sur Airport	5.94483295093795
Mataveri Airport	5.94483295093795
Dr.Juan C. Angara Airport	5.946239567099567
Bagabag Airport	5.946239567099567
Daniel Z. Romualdez Airport	5.946239567099567
Yonaguni Airport	5.946273961038961
Ninoy Aquino International Airport	5.946273961038961
Awang Airport	5.946273961038961
Cagayan De Oro Airport	5.946407294372294
Pagadian Airport	5.946407294372294
General Santos International Airport	5.946407294372294
Yokota Air Base	5.947312453102453
Jeju International Airport	5.947482453102453
Jinhae Airport	5.947482453102453
Gimhae International Airport	5.947482453102453
Minami-Daito Airport	5.947726897546897
Ulsan Airport	5.947857453102454
A 511 Airport	5.947857453102454
Seoul Air Base	5.947857453102454
Zamboanga International Airport	5.9489872943722935
Loakan Airport	5.9489872943722935
Daet Airport	5.9489872943722935
Basa Air Base	5.9489872943722935
Lingayen Airport	5.9489872943722935
San Jose Airport	5.9489872943722935
Gwangju Airport	5.950557453102453
Jeon Ju Airport	5.950557453102453
Fernando Air Base	5.950612294372295
Mamburao Airport	5.950612294372295
Vigan Airport	5.950612294372295
Quebec Jean Lesage International Airport	5.951279458874459
Miyako Airport	5.952373564213564
Kitadaito Airport	5.952373564213564
Shimojishima Airport	5.952373564213564
Tarama Airport	5.952373564213564
Yoron Airport	5.952373564213564
Yeosu Airport	5.953415786435787
Sokcho Airport	5.953415786435787
Gangneung Airport	5.953415786435787
Kamina Base Airport	5.953547518037518
Bukavu Kavumu Airport	5.95502862914863
Goma International Airport	5.95502862914863
Kindu Airport	5.95502862914863
Comodoro D.R. Salomón Airport	5.957538513708514
Suboficial Ay Santiago Germano Airport	5.957538513708514
Catamarca Airport	5.957538513708514
Vicecomodoro Angel D. La Paz Aragonés Airport	5.957538513708514
Tinogasta Airport	5.957538513708514
Capitan V A Almonacid Airport	5.957538513708514
Chilecito Airport	5.957538513708514
Teniente Benjamin Matienzo Airport	5.957538513708514
Budel Airport	5.958075909645911
Skive Airport	5.961657547452547
Thisted Airport	5.961657547452547
Kolding Vamdrup Airport	5.961657547452547
Vagar Airport	5.961657547452547
Vesthimmerlands Flyveplads	5.961903976023978
Del Bajío International Airport	5.962110418470419
Tokushima Airport	5.962260548340547
Takamatsu Airport	5.962260548340547
Yao Airport	5.962260548340547
Tulcea Airport	5.963482388167388
Licenciado Adolfo Lopez Mateos International Airport	5.9645631962481955
Tapachula International Airport	5.9645631962481955
Cancún International Airport	5.9645631962481955
Carlos Rovirosa Pérez International Airport	5.9645631962481955
General Heriberto Jara International Airport	5.9645631962481955
Polokwane International Airport	5.964903009768009
Sibulan Airport	5.9650614285714285
Godofredo P. Ramos Airport	5.9650614285714285
Guiuan Airport	5.9650614285714285
Iloilo International Airport	5.9650614285714285
Kalibo International Airport	5.9650614285714285
RAF Benson	5.9681047985347995
Satu Mare Airport	5.968327388167388
Suceava Stefan cel Mare Airport	5.968327388167388
Bacolod-Silay City International Airport	5.9684614285714295
Plan De Guadalupe International Airport	5.9685304184704195
Ixtepec Airport	5.9685304184704195
Lázaro Cárdenas Airport	5.9685304184704195
Valle del Fuerte International Airport	5.9685304184704195
Lubumbashi International Airport	5.96864862914863
General Servando Canales International Airport	5.9690181962481965
Licenciado Manuel Crescencio Rejon Int Airport	5.9690181962481965
General Rodolfo Sánchez Taboada International Airport	5.9690181962481965
General Francisco J. Mujica International Airport	5.9690181962481965
Minatitlán/Coatzacoalcos National Airport	5.9690181962481965
Monclova International Airport	5.9690181962481965
Matari Airport	5.969135533910532
Bunia Airport	5.969381962481963
Buta Zega Airport	5.969381962481964
Ingeniero Alberto Acuña Ongay International Airport	5.969790129870129
Odense Airport	5.9699701665001665
Kruså-Padborg Airport	5.9699701665001665
Copenhagen Roskilde Airport	5.9699701665001665
Bornholm Airport	5.9699701665001665
Sønderborg Airport	5.9699701665001665
Skrydstrup Air Base	5.970697547452548
Licenciado Miguel de la Madrid Airport	5.970997085137087
Isla Mujeres Airport	5.970997085137087
Amado Nervo National Airport	5.972345685425686
Ensenada Airport	5.972345685425686
Abraham González International Airport	5.975204018759019
General Roberto Fierro Villalobos International Airport	5.975204018759019
General Pedro Jose Mendez International Airport	5.975204018759019
Cozumel International Airport	5.975204018759019
General Guadalupe Victoria International Airport	5.975204018759019
Cluj-Napoca International Airport	5.9767873881673905
Tehuacan Airport	5.977715685425686
General Ignacio P. Garcia International Airport	5.977715685425686
Iaşi Airport	5.978814054834056
Oradea International Airport	5.978814054834056
Henri Coandă International Airport	5.978814054834056
